df_index,final_price,list_price,bathrooms,parking,lat,long,mean_district_income,sqft,bedrooms_ag,total_bedrooms,is_house
0,855000,870000,2,1,43.6618956,-79.3857479,56526,850.0,2,3,0
1,885000,898000,2,6,43.64698170000001,-79.5303556,52787,1761.820652173913,3,3,1
2,550000,549900,1,0,43.708472,-79.3974985,57039,550.0,1,1,0
3,665000,600000,1,1,43.6383993,-79.41444820000002,70623,650.0,1,2,0
4,825513,839000,2,1,43.5970962,-79.5096118,44101,2310.1479046836484,2,2,1
5,368000,289000,1,1,43.6015185,-79.51006240000002,44101,250.0,0,0,0
6,2700000,2798000,5,2,43.71406820000001,-79.4033381,169203,2750.0,4,4,1
7,200000,199000,2,1,43.7494371,-79.51684809999998,27984,1100.0,3,3,1
8,975000,954900,2,1,43.7114719,-79.3903945,85340,1300.0,2,2,1
9,269900,269900,1,1,43.8053274,-79.2202291,29573,650.0,1,1,0
10,1057000,1079000,2,1,43.6645415,-79.46147629999999,49709,1761.820652173913,3,4,1
11,1530000,1399900,5,4,43.7388821,-79.30410400000002,35047,3250.0,4,6,1
12,2250000,1990000,4,2,43.66774829999999,-79.3682785,63012,2750.0,3,4,1
13,2100000,2150000,3,2,43.7496511,-79.3961626,100516,1750.0,4,4,1
15,357500,369000,1,1,43.62187,-79.5215387,52787,250.0,0,0,0
16,655000,679900,1,1,43.7285835,-79.3452575,67757,1100.0,3,4,1
17,800000,899888,4,4,43.8245133,-79.2706506,28085,2310.1479046836484,4,5,1
18,640100,629990,2,1,43.6245272,-79.48527109999998,54438,750.0,2,3,0
19,510000,569000,2,3,43.7597662,-79.19348289999998,33323,2310.1479046836484,2,5,1
20,825000,829900,3,3,43.7052095,-79.26151170000001,54360,2310.1479046836484,4,4,1
21,325000,299000,1,1,43.7694947,-79.28338829999998,31692,750.0,1,1,0
22,855000,798000,2,2,43.6073187,-79.49672980000003,54438,900.0,3,3,1
23,478000,469000,1,1,43.714543000000006,-79.45307249999998,38527,650.0,1,2,0
24,775000,739000,2,1,43.6677624,-79.38091659999998,53583,1100.0,2,2,0
25,575000,579000,1,1,43.68150079999999,-79.49364179999998,34059,900.0,2,2,1
27,880000,879000,2,2,43.7054863,-79.30791700000002,43907,2310.1479046836484,3,4,1
29,407000,409999,1,1,43.7627233,-79.50000279999998,29958,1100.0,2,2,0
30,1134000,1148000,4,5,43.5997943,-79.5185178,44101,2310.1479046836484,4,5,1
31,555000,559900,1,0,43.6363057,-79.4660892,35207,750.0,2,2,0
32,725000,729000,3,1,43.7364565,-79.47660549999998,34168,1750.0,3,3,1
34,1240000,1249000,2,0,43.6507544,-79.40786390000002,50694,1750.0,3,3,1
35,625000,625000,2,1,43.6651058,-79.37690090000002,63012,850.0,2,2,0
36,1300000,1500000,4,2,43.6706157,-79.44841329999998,39740,2374.0,3,3,0
37,630000,650000,2,1,43.7780172,-79.41662779999999,44576,850.0,2,3,0
38,726000,739000,3,3,43.7538304,-79.4946581,29958,1761.820652173913,4,4,1
39,1300000,1189000,4,2,43.67516370000001,-79.32489749999998,46206,1300.0,3,4,1
40,752500,778800,2,1,43.6704971,-79.4490273,39740,1300.0,3,3,1
41,502000,510000,1,0,43.66472329999999,-79.38408359999998,53583,650.0,1,1,0
42,630666,649000,2,1,43.696804,-79.39191640000001,57039,850.0,1,2,0
43,765000,749900,2,1,43.66034910000001,-79.4519198,39740,950.0,3,3,1
44,670000,689900,2,1,43.63967940000001,-79.58156590000002,62378,1300.0,2,3,0
45,350000,369000,1,1,43.7424456,-79.21422940000002,32913,250.0,0,0,0
46,570000,629900,1,0,43.6759032,-79.32249329999998,46206,2310.1479046836484,1,1,1
47,462500,469900,2,1,43.71974340000001,-79.3012217,35786,1100.0,3,3,0
51,1158888,1189999,4,2,43.6856555,-79.29652709999998,54324,2750.0,3,4,1
52,705000,719000,2,1,43.66703,-79.37638620000001,32648,850.0,2,2,0
53,354500,355000,1,1,43.7300414,-79.27333519999998,31383,750.0,1,2,0
54,1125000,1179000,2,2,43.6783095,-79.3083192,54324,1300.0,3,4,1
55,700000,699900,3,2,43.70705020000001,-79.4922486,31800,1761.820652173913,3,3,1
56,630000,635000,1,0,43.6418064,-79.3789807,70600,650.0,1,1,0
59,1535000,1569000,4,2,43.61719979999999,-79.49242439999998,54438,2250.0,4,4,1
60,543600,548000,1,0,43.6687178,-79.3839957,53583,550.0,1,1,0
61,412000,418800,2,1,43.686963,-79.5060488,30827,1100.0,2,3,0
62,1175000,1149000,3,1,43.6862851,-79.44128119999998,39803,2310.1479046836484,3,4,1
63,1220000,899000,3,2,43.6701473,-79.4186045,112766,1750.0,3,4,1
65,627500,619000,1,0,43.6462468,-79.39452849999998,70600,650.0,1,1,0
66,310000,289000,1,1,43.7118572,-79.3294906,28654,650.0,1,1,0
67,470000,438000,1,0,43.6460058,-79.38990849999998,70600,250.0,0,0,0
68,476500,489900,1,0,43.6455046,-79.3924571,70600,250.0,0,0,0
69,832000,799900,2,1,43.641579,-79.4159028,70623,850.0,2,2,0
75,582000,589900,2,2,43.77744819999999,-79.2810949,31825,1300.0,2,3,0
76,725500,719000,2,1,43.66703,-79.37638620000001,32648,850.0,2,2,0
82,800000,825000,2,2,43.7388999,-79.40673520000001,123077,1300.0,1,2,0
83,355000,349900,1,1,43.82482590000001,-79.27449299999998,28085,750.0,1,2,0
85,415000,445000,2,1,43.7713861,-79.2607673,33256,950.0,2,2,0
88,553000,559900,2,1,43.7957956,-79.32861340000002,31826,1100.0,3,4,1
90,455000,490000,2,1,43.7816907,-79.41438529999998,45212,950.0,1,1,0
91,1400000,1449000,2,1,43.6639075,-79.34180309999998,53803,1900.0,2,3,0
93,595000,619500,2,1,43.72358699999999,-79.32487859999998,28654,1300.0,2,3,0
98,545000,529000,2,1,43.77340299999999,-79.3446365,36359,550.0,1,2,0
99,967500,999800,3,2,43.7878493,-79.3096068,31826,2310.1479046836484,4,4,1
110,1420000,1395000,2,2,43.6827638,-79.393061,114174,2124.0,3,3,1
115,760000,799000,2,1,43.7542374,-79.4432703,51181,1300.0,2,3,0
118,580000,578000,1,0,43.6406456,-79.380939,70600,650.0,1,1,0
119,715000,749000,2,5,43.7423346,-79.5386758,29528,1761.820652173913,3,5,1
121,545000,559900,3,1,43.7428606,-79.6001328,31771,1300.0,3,5,1
122,1400000,1590000,3,4,43.778941,-79.38991159999998,52035,2310.1479046836484,3,4,1
123,395000,404901,2,1,43.7590096,-79.58856850000002,26548,1100.0,2,3,0
124,1600100,1650000,3,2,43.7022545,-79.3961571,57039,2310.1479046836484,4,4,1
125,760000,768000,1,1,43.6432542,-79.3924143,70600,750.0,2,2,0
126,1050000,999000,3,2,43.67402670000001,-79.43211029999998,54460,1761.820652173913,3,3,1
127,828000,799900,3,3,43.7588775,-79.28041590000002,31692,2310.1479046836484,3,6,1
128,510000,529000,1,0,43.651149200000006,-79.36798370000002,58915,550.0,1,1,0
129,630000,599000,2,2,43.66758919999999,-79.49266109999998,34059,2310.1479046836484,2,3,1
130,680000,698000,1,3,43.7322195,-79.24770799999997,30974,2310.1479046836484,3,3,1
131,785000,799900,1,1,43.6657528,-79.3855792,56526,750.0,1,2,0
132,368000,378000,1,1,43.76443889999999,-79.2885842,31692,650.0,1,1,0
133,704000,639900,3,1,43.68820510000001,-79.468869,33316,2310.1479046836484,2,2,1
134,901000,799000,2,1,43.6738501,-79.4258779,54460,1856.3063063063064,3,3,1
